ThickChord,Camber,CamberLoc,TotalChord,TotalSpan,Twist,XLoc,"outputs[""SM""]","outputs[""Cl""]","outputs[""Cd/Cl""]","outputs[""max_RCS""]","outputs[""Tot_Obj""]"
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39026702917667855,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,0.0,0.0,-9.745929542510693,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,5.0,0.0,2.0,-9.705733455575997,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.87066906396961,0.060360060255,0.04773125074475624,1083.123646798003,541.5856890243739
0.1,0.0,0.1,2.0,11.0,0.0,2.0,-1.9486427442019494,0.0,inf,857.3244664396834,inf
0.1,0.0,0.1,2.0,12.0,0.0,0.0,-10.95218171262605,0.0,inf,1086.1104380827157,inf
0.1,0.0,0.1,2.0,13.0,0.0,1.0,-5.227434977997345,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,12.0,0.0,2.0,-1.1115024448501742,0.0,inf,1082.622420112703,inf
0.1,0.0,0.1,1.0,2.0,0.0,2.0,-19.016295589442475,0.0,inf,9.045350115765828,inf
0.1,0.0,0.1,2.0,9.0,0.0,2.0,-3.980417925693884,0.0,inf,4.742436161531481,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3905961043898376,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,12.0,0.0,4.0,9.048853149100582,0.0,inf,1083.6015729990204,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3903099849499547,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,11.0,0.0,2.0,-1.9487636998640312,0.0,inf,857.3244664396834,inf
0.1,0.0,0.1,2.0,14.0,0.0,0.0,-8.79211501384007,0.0,inf,1702.471315184154,inf
0.1,0.0,0.1,2.0,14.0,0.0,2.0,0.2561405614619616,0.0,inf,1702.471315184154,inf
0.1,0.0,0.1,2.0,13.0,0.0,0.0,-9.745925352912503,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,5.0,0.0,4.0,3.47638478149487,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,11.0,0.0,2.0,-1.9487837330205962,0.0,inf,857.3244664396834,inf
0.1,0.0,0.1,1.0,13.0,0.0,2.0,-2.4381978452737663,0.0,inf,532.9872547573164,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3902579720681132,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,11.0,4.0,0.0,-9.615543054048716,0.056254011827,0.04327957157059955,857.3244664396834,428.683873005627
0.1,0.0,0.1,2.0,12.0,1.0,2.0,-0.7675588423174329,0.013664519431,0.13619591954166543,1082.035893376648,541.0860446480948
0.1,0.0,0.1,2.0,5.0,0.0,2.0,-9.708555948017516,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,6.0,0.0,2.0,-8.046835213517522,0.0,inf,724.9191265930925,inf
0.1,0.0,0.1,2.0,11.0,0.0,2.0,-1.9489344961170032,0.0,inf,857.3244664396834,inf
0.1,0.0,0.1,2.0,14.0,4.0,0.0,-11.06095217293623,0.080723610976,0.042080888415781365,1702.471315184154,851.2566980362849
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3906263854416281,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,1.0,6.0,0.0,2.0,-11.590204070331222,0.0,inf,3.4222696501402936,inf
0.1,0.0,0.1,2.0,13.0,0.0,1.0,-5.227415334220504,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.6129783048038178,0.020475976666,0.11554382961026177,626.6957830769787,313.4056634532945
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39091574594787737,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3906731065967062,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39065308552717504,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,14.0,0.0,0.0,-8.792119923897737,0.0,inf,1702.471315184154,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39068667947899977,0.0,inf,652.5784483965008,inf
